seq,date,time,price_cur,accum_vol,best_ask,best_ask_vol,best_bid,best_bid_vol
10479522,20190121,90000,276.5,1449,0,0,0,0
10479523,20190121,90000,276.55,1450,276.55,43,276.5,17
10479524,20190121,90000,276.5,1451,276.55,43,276.5,16
10479525,20190121,90000,276.55,1454,276.55,40,276.5,16
10479526,20190121,90000,276.5,1456,276.55,40,276.5,14
10479527,20190121,90000,276.5,1470,276.55,40,276.5,14
10479528,20190121,90000,276.5,1471,276.5,7,276.45,11
10479529,20190121,90000,276.5,1473,276.5,5,276.45,11
10479530,20190121,90000,276.5,1474,276.5,4,276.45,13
10479531,20190121,90001,276.5,1476,276.5,2,276.45,13
10479532,20190121,90001,276.5,1477,276.5,4,276.45,13
10479533,20190121,90001,276.5,1478,276.5,3,276.45,13
10479534,20190121,90001,276.5,1481,276.55,43,276.45,13
10479535,20190121,90001,276.45,1482,276.55,43,276.45,12
10479536,20190121,90001,276.5,1485,276.5,7,276.45,12
10479537,20190121,90001,276.5,1488,276.5,4,276.45,12
10479538,20190121,90001,276.5,1490,276.5,2,276.45,19
10479539,20190121,90001,276.5,1492,276.55,47,276.5,5
10479540,20190121,90001,276.5,1493,276.55,47,276.5,4
10479541,20190121,90001,276.5,1497,276.55,43,276.5,3
10479542,20190121,90001,276.5,1501,276.55,123,276.5,4
10479543,20190121,90001,276.45,1514,276.5,7,276.4,16
10479544,20190121,90001,276.4,1515,276.5,7,276.4,15
10479545,20190121,90001,276.45,1516,276.5,8,276.4,15
10479546,20190121,90001,276.45,1517,276.5,8,276.45,1
10479547,20190121,90001,276.45,1518,276.5,8,276.4,15
10479548,20190121,90002,276.45,1519,276.5,89,276.4,15
10479549,20190121,90002,276.4,1523,276.45,6,276.4,12
10479550,20190121,90002,276.45,1525,276.45,10,276.4,18
10479551,20190121,90002,276.4,1543,276.45,90,276.35,55
10479552,20190121,90002,276.4,1549,276.4,6,276.35,43
10479553,20190121,90002,276.45,1563,276.45,76,276.35,43
10479554,20190121,90002,276.4,1564,276.45,76,276.35,50
10479555,20190121,90002,276.4,1568,276.45,76,276.4,4
10479556,20190121,90002,276.4,1574,276.45,82,276.35,50
10479557,20190121,90003,276.35,1577,276.4,89,276.35,41
10479558,20190121,90003,276.35,1618,276.4,89,276.3,12
10479559,20190121,90003,276.3,1620,276.35,17,276.3,21
10479560,20190121,90003,276.35,1631,276.35,6,276.3,21
10479561,20190121,90003,276.35,1637,276.4,94,276.3,21
10479562,20190121,90003,276.35,1638,276.35,4,276.3,21
10479563,20190121,90003,276.35,1639,276.35,86,276.3,21
10479564,20190121,90003,276.3,1641,276.35,86,276.3,19
10479565,20190121,90003,276.3,1642,276.35,86,276.3,18
10479566,20190121,90003,276.3,1652,276.35,86,276.3,8
10479567,20190121,90003,276.3,1656,276.35,86,276.3,10
10479568,20190121,90003,276.35,1660,276.35,82,276.3,11
10479569,20190121,90003,276.3,1661,276.35,83,276.3,10
10479570,20190121,90003,276.35,1662,276.35,82,276.3,10
10479571,20190121,90003,276.3,1663,276.35,82,276.3,9
10479572,20190121,90004,276.3,1672,276.35,83,276.25,18
10479573,20190121,90004,276.35,1673,276.35,82,276.3,10
10479574,20190121,90004,276.35,1674,276.35,81,276.3,10
10479575,20190121,90004,276.35,1678,276.35,77,276.3,10
10479576,20190121,90004,276.3,1685,276.35,77,276.3,8
10479577,20190121,90004,276.35,1690,276.35,78,276.3,10
10479578,20190121,90004,276.3,1705,276.3,54,276.25,24
10479579,20190121,90004,276.3,1759,276.35,4,276.25,30
10479580,20190121,90004,276.35,1762,276.35,3,276.3,1
10479581,20190121,90004,276.3,1763,276.35,13,276.3,11
10479582,20190121,90004,276.3,1768,276.35,13,276.3,6
10479583,20190121,90004,276.3,1772,276.35,13,276.3,2
10479584,20190121,90004,276.3,1774,276.35,13,276.3,2
10479585,20190121,90004,276.25,1775,276.35,13,276.25,20
10479586,20190121,90004,276.3,1781,276.35,13,276.3,6
10479587,20190121,90004,276.3,1782,276.35,15,276.3,23
10479588,20190121,90004,276.3,1783,276.35,15,276.3,22
10479589,20190121,90004,276.3,1805,276.35,15,276.25,21
10479590,20190121,90005,276.25,1806,276.35,95,276.25,19
10479591,20190121,90005,276.3,1807,276.35,96,276.25,37
10479592,20190121,90005,276.25,1808,276.35,17,276.25,39
10479593,20190121,90005,276.3,1809,276.35,17,276.25,39
10479594,20190121,90005,276.3,1810,276.3,5,276.25,39
10479595,20190121,90005,276.3,1815,276.35,17,276.3,3
10479596,20190121,90006,276.35,1816,276.35,96,276.3,5
10479597,20190121,90006,276.3,1820,276.35,16,276.3,7
10479598,20190121,90006,276.3,1821,276.35,16,276.3,1
10479599,20190121,90006,276.25,1824,276.35,16,276.25,39
10479600,20190121,90006,276.3,1825,276.35,96,276.25,38
10479601,20190121,90006,276.3,1831,276.35,97,276.25,39
10479602,20190121,90006,276.3,1840,276.35,19,276.3,9
10479603,20190121,90006,276.25,1841,276.35,19,276.25,49
10479604,20190121,90006,276.3,1842,276.35,19,276.25,51
10479605,20190121,90006,276.3,1857,276.3,65,276.25,51
10479606,20190121,90007,276.3,1858,276.3,72,276.25,51
10479607,20190121,90007,276.25,1859,276.3,72,276.25,50
10479608,20190121,90007,276.3,1861,276.3,71,276.25,51
10479609,20190121,90007,276.25,1863,276.3,71,276.25,49
10479610,20190121,90007,276.3,1929,276.3,66,276.25,68
10479611,20190121,90007,276.3,1930,276.35,18,276.3,13
10479612,20190121,90007,276.3,1932,276.35,23,276.3,11
10479613,20190121,90007,276.35,1933,276.35,22,276.3,11
10479614,20190121,90007,276.35,1955,276.4,92,276.3,18
10479615,20190121,90007,276.35,1963,276.4,88,276.35,4
10479616,20190121,90007,276.35,1965,276.4,89,276.3,17
10479617,20190121,90007,276.35,1966,276.4,93,276.35,8
10479618,20190121,90007,276.35,1974,276.35,1,276.3,17
10479619,20190121,90007,276.3,1975,276.35,27,276.3,15
10479620,20190121,90007,276.3,1990,276.35,27,276.25,66
10479621,20190121,90007,276.3,1991,276.35,27,276.3,1
10479622,20190121,90007,276.3,1997,276.35,27,276.25,66
10479623,20190121,90007,276.3,1999,276.35,12,276.3,9
10479624,20190121,90008,276.3,2000,276.35,56,276.3,7
10479625,20190121,90008,276.3,2001,276.35,55,276.25,67
10479626,20190121,90008,276.35,2002,276.35,70,276.3,2
10479627,20190121,90008,276.3,2011,276.3,32,276.25,65
10479628,20190121,90008,276.3,2043,276.35,33,276.25,65
10479629,20190121,90008,276.35,2044,276.35,15,276.3,29
